id,host_resp_rate_pct,host_accept_rate_pct,host_listings_count,latitude,longitude,accommodates,bedrooms,beds,price_usd,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,clusters,cluster
1428553,88,0,3,37.75955,-122.43877,1,1.0,1.0,89.0,30,1125,0,0,0,0,26,0,0,5.0,4.92,4.96,5.0,5.0,5.0,4.88,3,0,3,0,0.24,1,pink
1433011,100,87,6,37.80289,-122.41986,1,1.0,1.0,180.0,3,30,22,36,66,341,13,3,0,4.83,4.82,4.73,4.82,4.82,4.91,4.82,2,1,1,0,0.11,1,pink
1433917,88,100,1,37.76006,-122.43424,2,1.0,2.0,230.0,30,905,30,60,90,365,140,4,0,4.91,4.94,4.98,4.99,4.98,4.89,4.81,1,1,0,0,1.26,1,pink
1438864,100,83,2,37.74584,-122.43292,2,1.0,1.0,290.0,3,100,13,41,71,161,82,0,0,4.87,4.89,5.0,4.98,4.94,4.74,4.68,2,1,1,0,0.72,1,pink
1442027,96,81,33,37.77714,-122.4204,2,1.0,1.0,103.0,30,1125,5,5,8,283,29,4,0,4.71,4.89,4.79,4.75,4.79,4.75,4.36,30,30,0,0,0.26,1,pink
1450899,88,100,1,37.75672,-122.4276,3,2.0,2.0,160.0,14,65,0,0,0,0,23,1,0,4.95,4.95,4.85,5.0,4.9,5.0,4.95,1,1,0,0,0.3,1,pink
1456153,88,88,5,37.74711,-122.40747,5,3.0,4.0,228.0,30,1125,0,0,0,0,57,0,0,4.75,4.79,4.81,4.92,4.92,4.65,4.52,4,1,3,0,0.52,1,pink
1460174,88,100,2,37.77705,-122.43651,5,3.0,3.0,520.0,3,10,0,0,0,1,64,5,0,4.95,4.94,4.98,4.98,5.0,4.86,4.73,2,2,0,0,0.57,1,pink
1460628,100,100,1,37.77838,-122.46129,6,1.0,3.0,142.0,1,30,8,23,40,182,336,52,3,4.41,4.56,4.51,4.83,4.78,4.77,4.39,1,1,0,0,2.96,1,pink
1467522,100,78,2,37.7754,-122.43592,4,2.0,3.0,259.0,2,31,0,0,0,0,36,9,0,4.92,4.86,4.71,4.89,4.94,4.94,4.57,2,1,1,0,0.35,1,pink
1467857,100,88,1,37.78744,-122.44352,2,1.55,2.0,90.0,30,365,20,23,32,218,36,4,1,4.8,4.8,4.8,4.9,4.97,4.97,4.72,1,1,0,0,0.33,1,pink
1470340,100,100,1,37.70942,-122.43542,2,1.0,1.0,101.0,3,14,21,51,81,81,225,27,3,4.9,4.96,4.97,4.97,4.98,4.64,4.87,1,1,0,0,2.9,1,pink
1471683,100,100,1,37.77127,-122.42945,3,2.0,2.0,147.0,3,1125,9,28,28,237,502,49,3,4.92,4.93,4.94,4.97,4.95,4.96,4.89,1,0,1,0,4.45,1,pink
1474209,88,88,57,37.78743,-122.41104,4,1.55,2.0,193.0,1,15,0,0,0,0,101,0,0,4.85,4.87,4.95,4.88,4.96,4.88,4.75,29,0,29,0,0.89,1,pink
1480015,100,100,1,37.76636,-122.44887,4,1.0,2.0,265.0,3,29,2,11,16,196,238,22,1,4.97,4.99,5.0,5.0,5.0,4.94,4.88,1,1,0,0,2.18,1,pink
1482730,100,93,1,37.73863,-122.41713,4,2.0,2.0,169.0,5,200,0,5,18,233,169,19,1,4.83,4.89,4.89,4.97,4.97,4.85,4.72,1,1,0,0,1.49,1,pink
1483853,88,88,57,37.78726,-122.41109,4,1.55,2.0,196.0,2,15,0,0,0,0,65,0,0,4.77,4.93,4.97,4.92,4.9,4.85,4.82,29,0,29,0,0.58,1,pink
1484792,100,100,2,37.777439,-122.423988,4,1.0,2.0,250.0,30,120,8,8,25,223,167,8,1,4.96,4.97,4.94,4.91,4.97,4.87,4.91,1,1,0,0,1.5,1,pink
1487849,100,86,1,37.74778,-122.4045,4,1.0,2.0,165.0,2,200,8,8,8,8,405,23,0,4.64,4.82,4.7,4.81,4.82,4.58,4.52,1,1,0,0,3.57,1,pink
