id,host_id,host_since,host_response_time,host_resp_rate_pct,host_accept_rate_pct,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price_usd,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,review_category
24968111,4430421,2012-12-17,within an hour,90,91,f,153,t,t,Downtown/Civic Center,37.78419,-122.41209,Entire rental unit,Entire home/apt,2,1 bath,1.55,1.0,82.0,30,1125,t,27,57,87,177,1,1,0,2022-08-13,2022-08-13,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,153,152,1,0,0.26,excellent
24968783,4430421,2012-12-17,within an hour,90,91,f,153,t,t,Downtown/Civic Center,37.78609,-122.4112,Entire rental unit,Entire home/apt,2,1 bath,1.55,1.0,81.0,30,180,t,27,57,87,177,3,1,0,2019-08-17,2022-07-10,5.0,5.0,4.67,5.0,5.0,3.33,4.0,f,153,152,1,0,0.07,excellent
24992845,4430421,2012-12-17,within an hour,90,91,f,153,t,t,Mission,37.76536,-122.41911,Entire rental unit,Entire home/apt,2,1 bath,1.55,1.0,88.0,30,150,t,0,3,3,190,1,0,0,2019-02-06,2019-02-06,1.0,4.0,5.0,1.0,5.0,1.0,1.0,f,153,152,1,0,0.02,bad
24994118,10624127,2013-12-14,Unknown,88,88,f,18,t,f,Nob Hill,37.7924,-122.41952,Private room in home,Private room,1,5 shared baths,1.0,1.0,47.0,365,450,f,0,0,0,0,1,0,0,2019-08-02,2019-08-02,2.0,2.0,5.0,2.0,2.0,5.0,2.0,f,5,0,5,0,0.02,bad
25027248,4430421,2012-12-17,within an hour,90,91,f,153,t,t,Downtown/Civic Center,37.78467,-122.41474,Entire rental unit,Entire home/apt,2,1 bath,1.55,1.0,81.0,30,1125,t,29,59,89,179,1,0,0,2018-09-16,2018-09-16,3.0,5.0,4.0,5.0,5.0,3.0,4.0,f,153,152,1,0,0.02,bad
25034848,4430421,2012-12-17,within an hour,90,91,f,153,t,t,Downtown/Civic Center,37.7861,-122.41203,Entire rental unit,Entire home/apt,2,1 bath,1.55,1.0,81.0,30,180,t,27,57,87,177,2,1,0,2018-06-30,2022-08-23,4.5,5.0,4.5,4.5,5.0,3.5,5.0,f,153,152,1,0,0.04,excellent
25058405,95227196,2016-09-15,within an hour,100,95,t,4,t,f,Visitacion Valley,37.71693,-122.40202,Private room in home,Private room,1,1 private bath,1.0,1.0,48.0,1,29,t,15,35,60,240,126,40,0,2018-06-03,2022-10-31,4.98,4.98,4.91,4.97,4.98,4.76,4.9,f,4,2,2,0,2.3,excellent
25058782,95227196,2016-09-15,within an hour,100,95,t,4,t,f,Visitacion Valley,37.71657,-122.40202,Entire home,Entire home/apt,6,1 bath,2.0,3.0,107.0,1,29,t,14,25,43,208,209,78,6,2018-06-08,2022-11-30,4.87,4.89,4.85,4.94,4.96,4.78,4.75,f,4,2,2,0,3.82,excellent
25058920,95227196,2016-09-15,within an hour,100,95,t,4,t,f,Visitacion Valley,37.71728,-122.40322,Private room in home,Private room,2,1 private bath,1.0,1.0,51.0,1,29,t,6,25,44,216,147,57,4,2018-05-27,2022-12-03,4.86,4.95,4.91,4.99,4.99,4.73,4.84,f,4,2,2,0,2.67,excellent
25167424,4430421,2012-12-17,within an hour,90,91,f,153,t,t,Mission,37.75416,-122.424,Entire rental unit,Entire home/apt,2,1 bath,1.55,1.0,98.0,30,180,t,28,58,88,178,7,2,0,2018-08-20,2022-09-04,5.0,4.86,4.71,4.86,4.86,5.0,4.43,t,153,152,1,0,0.13,excellent
25189704,62034618,2016-03-07,within an hour,100,84,t,21,t,t,Outer Sunset,37.76358,-122.47968,Private room in rental unit,Private room,4,1 shared bath,1.0,2.0,56.0,30,90,t,30,60,90,365,3,0,0,2018-08-14,2020-01-31,3.0,3.67,3.0,5.0,4.0,4.33,2.67,f,20,6,14,0,0.06,bad
25210300,14840556,2014-04-28,within an hour,100,88,f,1,t,t,Western Addition,37.78581,-122.43629,Entire condo,Entire home/apt,7,2 baths,4.0,5.0,333.0,30,63,t,0,0,27,207,1,0,0,2018-09-01,2018-09-01,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,1,1,0,0,0.02,excellent
25234139,115689498,2017-02-09,Unknown,88,88,f,1,t,f,Mission,37.75768,-122.40861,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,135.0,30,1125,t,0,0,0,0,6,0,0,2018-07-21,2021-04-30,5.0,5.0,4.83,4.83,5.0,5.0,4.83,f,1,1,0,0,0.11,excellent
25237201,1462572,2011-12-01,within a day,100,67,f,1,t,t,Mission,37.74969,-122.42195,Entire condo,Entire home/apt,2,1 bath,1.0,1.0,124.0,20,42,t,11,38,38,101,13,0,0,2018-05-28,2019-12-29,4.92,5.0,4.85,4.92,5.0,4.92,4.77,f,1,1,0,0,0.24,excellent
25254687,190800963,2018-05-21,within an hour,100,98,t,1,t,t,South of Market,37.77405,-122.41869,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,228.0,2,28,t,16,43,73,248,108,32,2,2018-05-26,2022-11-13,4.92,4.92,4.91,4.94,4.97,4.98,4.71,f,1,1,0,0,1.96,excellent
25260993,26602240,2015-01-23,within a few hours,100,100,f,1,t,t,Western Addition,37.77151,-122.42794,Entire condo,Entire home/apt,4,2.5 baths,2.0,3.0,425.0,5,29,t,0,0,0,0,20,1,1,2018-06-10,2022-11-13,5.0,5.0,4.95,5.0,5.0,4.95,4.75,f,1,1,0,0,0.37,excellent
25279552,55782784,2016-01-23,within an hour,100,96,f,26,t,t,Downtown/Civic Center,37.78952,-122.4074,Private room in condo,Private room,4,2 baths,1.0,2.0,275.0,2,22,t,2,26,56,331,1,0,0,2019-01-10,2019-01-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,25,9,16,0,0.02,excellent
25288190,836116,2011-07-18,within an hour,100,93,t,2,t,t,Outer Richmond,37.77726,-122.49928,Entire home,Entire home/apt,4,1.5 baths,2.0,2.0,400.0,15,1125,t,0,0,0,0,3,0,0,2020-09-22,2020-12-20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,2,2,0,0,0.11,excellent
25291283,22936081,2014-10-24,Unknown,88,0,f,2,t,f,Ocean View,37.72226,-122.45169,Private room in home,Private room,2,1 shared bath,1.0,2.0,65.0,1,7,t,0,0,0,2,107,0,0,2018-06-13,2020-03-12,4.79,4.87,4.84,4.93,4.96,4.83,4.83,f,2,0,2,0,1.96,excellent
25323663,4430421,2012-12-17,within an hour,90,91,f,153,t,t,Downtown/Civic Center,37.78397,-122.40996,Entire rental unit,Entire home/apt,2,1 bath,1.55,1.0,81.0,30,1125,t,27,57,87,177,4,2,0,2018-10-28,2022-10-20,3.75,4.0,4.75,5.0,5.0,3.25,3.75,f,153,152,1,0,0.08,average
25324599,55782784,2016-01-23,within an hour,100,96,f,26,t,t,Chinatown,37.79112,-122.40787,Room in boutique hotel,Private room,4,2 baths,1.0,2.0,275.0,2,22,t,2,26,56,331,1,0,0,2019-01-10,2019-01-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,25,9,16,0,0.02,excellent
25355368,169948922,2018-01-25,within an hour,100,98,t,2,t,t,Bernal Heights,37.73498,-122.42652,Entire home,Entire home/apt,6,1 bath,2.0,3.0,165.0,30,160,t,27,57,87,362,9,2,0,2020-02-08,2022-08-27,5.0,5.0,4.56,5.0,5.0,5.0,5.0,f,1,1,0,0,0.26,excellent
25356099,175969733,2018-03-01,within an hour,100,94,t,4,t,t,Crocker Amazon,37.7113,-122.44475,Entire guest suite,Entire home/apt,8,2 baths,3.0,5.0,124.0,2,28,t,15,45,72,72,170,39,1,2018-07-03,2022-11-06,4.88,4.9,4.98,4.98,4.94,4.73,4.8,f,3,2,1,0,3.16,excellent
